货物或应税劳务名称,规格型号,单位（套、件、条、人等）,数量,含税单价,金额,备注,不含税金额,税金,总金额,总不含税金额,总税金
,,,0,#REF!,#REF!,,#REF!,#REF!,,,
,,,0,0,0,,0,0,,,
,,,0,0,0,,0,0,,,
,,,0,0,0,,0,0,,,
,,,0,0,0,,0,0,,,
,,,0,0,0,,0,0,,,
,,,0,0,0,,0,0,,,
,,,0,0,0,,0,0,,,
,,,0,0,0,,0,0,,,
,,,0,0,0,,0,0,,,
,,,0,0,0,,0,0,,,
,,,0,0,0,,0,0,,,
,,,0,0,0,,0,0,,,
,,,0,0,0,,0,0,,,
,,,0,0,0,,0,0,,,
,,,0,0,0,,0,0,,,
,,,0,0,0,,0,0,,,
,,,0,0,0,,0,0,,,
,,,0,0,0,,0,0,,,
,,,0,0,0,,0,0,,,
,,,0,0,0,,0,0,,,
,,,0,0,0,,0,0,,,
,,,0,0,0,,0,0,,,
,,,,,0,,0,0,,,
,,,,,0,,0,0,,,
,,,,,0,,0,0,,,
,,,,,0,,0,0,,,
,,,,,0,,0,0,,,
,,,,,0,,0,0,,,
,,,,,0,,0,0,,,
,,,,,0,,0,0,,,
,,,,,0,,0,0,,,
,,,,,0,,0,0,,,
,,,,,0,,0,0,,,
,,,,,0,,0,0,,,
,,,,,0,,0,0,,,
,,,,,0,,0,0,,,
,,,,,0,,0,0,,,
,,,,,0,,0,0,,,
,,,,,0,,0,0,,,
,,,,,0,,0,0,,,
,,,,,0,,0,0,,,
,,,,,0,,0,0,,,
,,,,,0,,0,0,,,
,,,,,0,,0,0,,,
,,,,,0,,0,0,,,
,,,,,0,,0,0,,,
,,,,,0,,0,0,,,
,,,,,0,,0,0,,,